text,sentiment
I love this product,positive
This product is amazing,positive
The service was excellent,positive
I am very happy with this purchase,positive
This is a wonderful experience,positive
The quality is very good,positive
I really enjoyed this movie,positive
The food was delicious,positive
I am satisfied with the service,positive
This app is easy to use,positive
The product works perfectly,positive
I am extremely happy,positive
This was a great experience,positive
The customer service was helpful,positive
I really like this application,positive
The movie was fantastic,positive
The food tasted delicious,positive
This phone has excellent features,positive
I would recommend this product,positive
The experience was enjoyable,positive
This is one of the best products,positive
I am impressed with the quality,positive
The service was fast and friendly,positive
I had a pleasant experience,positive
The design looks beautiful,positive
This product is useful and reliable,positive
I am happy with the results,positive
The staff was very helpful,positive
This movie was entertaining,positive
The software is simple and useful,positive
I absolutely love the new design,positive
The product exceeded my expectations,positive
The service was quick and professional,positive
I am pleased with the results,positive
The app works very smoothly,positive
This was a fantastic purchase,positive
The quality is outstanding,positive
I enjoyed using this application,positive
The staff was friendly and polite,positive
This product is worth the money,positive
I am satisfied with the quality,positive
The experience was amazing,positive
The movie was interesting and enjoyable,positive
The food was fresh and tasty,positive
This software is reliable,positive
I had a great time using this app,positive
The customer support was excellent,positive
This phone performs very well,positive
The design is attractive,positive
I would definitely recommend it,positive
I hate this product,negative
This product is terrible,negative
The service was very bad,negative
I am disappointed with this purchase,negative
This is a horrible experience,negative
The quality is very poor,negative
I really disliked this movie,negative
The food was awful,negative
I am unhappy with the service,negative
This app is difficult to use,negative
The product does not work properly,negative
I am extremely disappointed,negative
This was a terrible experience,negative
The customer service was unhelpful,negative
I do not like this application,negative
The movie was boring,negative
The food tasted terrible,negative
This phone has poor features,negative
I would not recommend this product,negative
The experience was frustrating,negative
This is one of the worst products,negative
I am disappointed with the quality,negative
The service was slow and unfriendly,negative
I had a very bad experience,negative
The design looks ugly,negative
This product is useless and unreliable,negative
I am unhappy with the results,negative
The staff was rude and unhelpful,negative
This movie was boring and disappointing,negative
The software is confusing and difficult,negative
I absolutely hate the new design,negative
The product failed to meet my expectations,negative
The service was slow and unprofessional,negative
I am unhappy with the results,negative
The app crashes frequently,negative
This was a disappointing purchase,negative
The quality is extremely poor,negative
I regret buying this product,negative
The staff was rude and unfriendly,negative
This product is not worth the money,negative
I am dissatisfied with the quality,negative
The experience was horrible,negative
The movie was boring and unpleasant,negative
The food was cold and tasteless,negative
This software is unreliable,negative
I had a frustrating experience with this app,negative
The customer support was terrible,negative
This phone performs very poorly,negative
The design is unattractive,negative
I would never recommend this product,negative
